"id","country_id:id","name","code"
state_mm_07,base.mm,"Ayeyarwady Region","MM-07"
state_mm_02,base.mm,"Bago Region","MM-02"
state_mm_14,base.mm,"Chin State","MM-14"
state_mm_11,base.mm,"Kachin State","MM-11"
state_mm_12,base.mm,"Kayah State","MM-12"
state_mm_13,base.mm,"Kayin State","MM-13"
state_mm_03,base.mm,"Magway Region","MM-03"
state_mm_04,base.mm,"Mandalay Region","MM-04"
state_mm_15,base.mm,"Mon State","MM-15"
state_mm_16,base.mm,"Rakhine State","MM-16"
state_mm_17,base.mm,"Shan State","MM-17"
state_mm_01,base.mm,"Sagaing Region","MM-01"
state_mm_05,base.mm,"Tanintharyi Region","MM-05"
state_mm_06,base.mm,"Yangon Region","MM-06"
state_mm_18,base.mm,"Naypyidaw Union Territory","MM-18"
