"id","city:id","name"
mm_07_hinthada_hinthada,mm_07_hinthada,"Hinthada"
mm_07_hinthada_laymyethnar,mm_07_hinthada,"Laymyethnar"
mm_07_hinthada_zalun,mm_07_hinthada,"Zalun"
mm_07_hinthada_Ithapyu,mm_07_hinthada,"Ithapyu"
mm_07_labutta_labutta,mm_07_labutta,"Labutta"
mm_07_labutta_mawlamyinegyun,mm_07_labutta,"Mawlamyinegyun"
mm_07_labutta_kyonmanage,mm_07_labutta,"Kyonmanage"
mm_07_labutta_pyinsalu,mm_07_labutta,"Pyinsalu"
mm_07_ma_ubin_danubyu,mm_07_ma_ubin,"Danubyu"
mm_07_ma_ubin_ma_ubin,mm_07_ma_ubin,"Ma-ubin"
mm_07_ma_ubin_nyaungdon,mm_07_ma_ubin,"Nyaungdon"
mm_07_ma_ubin_pantanaw,mm_07_ma_ubin,"Pantanaw"
mm_07_myaungmya_einme,mm_07_myaungmya,"Einme"
mm_07_myaungmya_myaungmya,mm_07_myaungmya,"Myaungmya"
mm_07_myaungmya_wakema,mm_07_myaungmya,"Wakema"
mm_07_myaungmya_shwelaung,mm_07_myaungmya,"Shwelaung"
mm_07_pathein_kangyidaunk,mm_07_pathein,"Kangyidaunk"
mm_07_pathein_ngapudaw,mm_07_pathein,"Ngapudaw"
mm_07_pathein_pathein,mm_07_pathein,"Pathein"
mm_07_pathein_thabaung,mm_07_pathein,"Thabaung"
mm_07_pathein_chaungtha,mm_07_pathein,"Chaungtha"
mm_07_pathein_hainggyi,mm_07_pathein,"Hainggyi"
mm_07_pathein_ngayokekaung,mm_07_pathein,"Ngayokekaung"
mm_07_pathein_ngwesaung,mm_07_pathein,"Ngwesaung"
mm_07_pyapon_bogale,mm_07_pyapon,"Bogale"
mm_07_pyapon_dedaye,mm_07_pyapon,"Dedaye"
mm_07_pyapon_kyaiklat,mm_07_pyapon,"Kyaiklat"
mm_07_pyapon_pyapon,mm_07_pyapon,"Pyapon"
mm_07_pyapon_ahmar,mm_07_pyapon,"Ahmar"
mm_07_kyonpyaw_kyaunggon,mm_07_kyonpyaw,"Kyaunggon"
mm_07_kyonpyaw_kyonpyaw,mm_07_kyonpyaw,"Kyonpyaw"
